1,"AJAX--PICKERING","AJAX--PICKERING"
2,"ALGOMA--MANITOULIN","ALGOMA--MANITOULIN"
3,"ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE","ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE"
4,"BARRIE","BARRIE"
5,"BEACHES--EAST YORK","BEACHES--EAST YORK"
6,"BRAMALEA--GORE--MALTON","BRAMALEA--GORE--MALTON"
7,"BRAMPTON--SPRINGDALE","BRAMPTON--SPRINGDALE"
8,"BRAMPTON WEST","BRAMPTON-OUEST"
9,"BRANT","BRANT"
10,"BRUCE--GREY--OWEN SOUND","BRUCE--GREY--OWEN SOUND"
11,"BURLINGTON","BURLINGTON"
12,"CAMBRIDGE","CAMBRIDGE"
13,"CARLETON--MISSISSIPPI MILLS","CARLETON--MISSISSIPPI MILLS"
14,"CHATHAM--KENT--ESSEX","CHATHAM--KENT--ESSEX"
15,"DAVENPORT","DAVENPORT"
16,"DON VALLEY EAST","DON VALLEY-EST"
17,"DON VALLEY WEST","DON VALLEY-OUEST"
18,"DUFFERIN--CALEDON","DUFFERIN--CALEDON"
19,"DURHAM","DURHAM"
20,"EGLINTON--LAWRENCE","EGLINTON--LAWRENCE"
21,"ELGIN--MIDDLESEX--LONDON","ELGIN--MIDDLESEX--LONDON"
22,"ESSEX","ESSEX"
23,"ETOBICOKE CENTRE","ETOBICOKE-CENTRE"
24,"ETOBICOKE--LAKESHORE","ETOBICOKE--LAKESHORE"
25,"ETOBICOKE NORTH","ETOBICOKE-NORD"
26,"GLENGARRY--PRESCOTT--RUSSELL","GLENGARRY--PRESCOTT--RUSSELL"
27,"GUELPH","GUELPH"
28,"HALDIMAND--NORFOLK","HALDIMAND--NORFOLK"
29,"HALIBURTON--KAWARTHA LAKES--BROCK","HALIBURTON--KAWARTHA LAKES--BROCK"
30,"HALTON","HALTON"
31,"HAMILTON CENTRE","HAMILTON-CENTRE"
32,"HAMILTON EAST--STONEY CREEK","HAMILTON-EST - STONEY CREEK"
33,"HAMILTON MOUNTAIN","HAMILTON MOUNTAIN"
34,"HURON--BRUCE","HURON--BRUCE"
35,"KENORA--RAINY RIVER","KENORA--RAINY RIVER"
36,"KINGSTON AND THE ISLANDS","KINGSTON ET LES ÎLES"
37,"KITCHENER CENTRE","KITCHENER-CENTRE"
38,"KITCHENER--CONESTOGA","KITCHENER--CONESTOGA"
39,"KITCHENER--WATERLOO","KITCHENER--WATERLOO"
40,"LAMBTON--KENT--MIDDLESEX","LAMBTON--KENT--MIDDLESEX"
41,"LANARK--FRONTENAC--LENNOX AND ADDINGTON","LANARK--FRONTENAC--LENNOX AND ADDINGTON"
42,"LEEDS--GRENVILLE","LEEDS--GRENVILLE"
43,"LONDON--FANSHAWE","LONDON--FANSHAWE"
44,"LONDON NORTH CENTRE","LONDON-CENTRE-NORD"
45,"LONDON WEST","LONDON-OUEST"
46,"MARKHAM--UNIONVILLE","MARKHAM--UNIONVILLE"
47,"MISSISSAUGA--BRAMPTON SOUTH","MISSISSAUGA - BRAMPTON-SUD"
48,"MISSISSAUGA EAST--COOKSVILLE","MISSISSAUGA-EST - COOKSVILLE"
49,"MISSISSAUGA--ERINDALE","MISSISSAUGA--ERINDALE"
50,"MISSISSAUGA SOUTH","MISSISSAUGA-SUD"
51,"MISSISSAUGA--STREETSVILLE","MISSISSAUGA--STREETSVILLE"
52,"NEPEAN--CARLETON","NEPEAN--CARLETON"
53,"NEWMARKET--AURORA","NEWMARKET--AURORA"
54,"NIAGARA FALLS","NIAGARA FALLS"
55,"NIAGARA WEST--GLANBROOK","NIAGARA-OUEST - GLANBROOK"
56,"NICKEL BELT","NICKEL BELT"
57,"NIPISSING","NIPISSING"
58,"NORTHUMBERLAND--QUINTE WEST","NORTHUMBERLAND--QUINTE WEST"
59,"OAK RIDGES--MARKHAM","OAK RIDGES--MARKHAM"
60,"OAKVILLE","OAKVILLE"
61,"OSHAWA","OSHAWA"
62,"OTTAWA CENTRE","OTTAWA-CENTRE"
63,"OTTAWA--ORLÉANS","OTTAWA--ORLÉANS"
64,"OTTAWA SOUTH","OTTAWA-SUD"
65,"OTTAWA--VANIER","OTTAWA--VANIER"
66,"OTTAWA WEST--NEPEAN","OTTAWA-OUEST - NEPEAN"
67,"OXFORD","OXFORD"
68,"PARKDALE--HIGH PARK","PARKDALE--HIGH PARK"
69,"PARRY SOUND--MUSKOKA","PARRY SOUND--MUSKOKA"
70,"PERTH--WELLINGTON","PERTH--WELLINGTON"
71,"PETERBOROUGH","PETERBOROUGH"
72,"PICKERING--SCARBOROUGH EAST","PICKERING - SCARBOROUGH-EST"
73,"PRINCE EDWARD--HASTINGS","PRINCE EDWARD--HASTINGS"
74,"RENFREW--NIPISSING--PEMBROKE","RENFREW--NIPISSING--PEMBROKE"
75,"RICHMOND HILL","RICHMOND HILL"
76,"ST. CATHARINES","ST. CATHARINES"
77,"ST. PAUL'S","ST. PAUL'S"
78,"SARNIA--LAMBTON","SARNIA--LAMBTON"
79,"SAULT STE. MARIE","SAULT STE. MARIE"
80,"SCARBOROUGH--AGINCOURT","SCARBOROUGH--AGINCOURT"
81,"SCARBOROUGH CENTRE","SCARBOROUGH-CENTRE"
82,"SCARBOROUGH--GUILDWOOD","SCARBOROUGH--GUILDWOOD"
83,"SCARBOROUGH--ROUGE RIVER","SCARBOROUGH--ROUGE RIVER"
84,"SCARBOROUGH SOUTHWEST","SCARBOROUGH-SUD-OUEST"
85,"SIMCOE--GREY","SIMCOE--GREY"
86,"SIMCOE NORTH","SIMCOE-NORD"
87,"STORMONT--DUNDAS--SOUTH GLENGARRY","STORMONT--DUNDAS--SOUTH GLENGARRY"
88,"SUDBURY","SUDBURY"
89,"THORNHILL","THORNHILL"
90,"THUNDER BAY--ATIKOKAN","THUNDER BAY--ATIKOKAN"
91,"THUNDER BAY--SUPERIOR NORTH","THUNDER BAY - SUPERIOR-NORD"
92,"TIMISKAMING--COCHRANE","TIMISKAMING--COCHRANE"
93,"TIMMINS--JAMES BAY","TIMMINS - BAIE JAMES"
94,"TORONTO CENTRE","TORONTO-CENTRE"
95,"TORONTO--DANFORTH","TORONTO--DANFORTH"
96,"TRINITY--SPADINA","TRINITY--SPADINA"
97,"VAUGHAN","VAUGHAN"
98,"WELLAND","WELLAND"
99,"WELLINGTON--HALTON HILLS","WELLINGTON--HALTON HILLS"
100,"WHITBY--OSHAWA","WHITBY--OSHAWA"
101,"WILLOWDALE","WILLOWDALE"
102,"WINDSOR--TECUMSEH","WINDSOR--TECUMSEH"
103,"WINDSOR WEST","WINDSOR-OUEST"
104,"YORK CENTRE","YORK-CENTRE"
105,"YORK--SIMCOE","YORK--SIMCOE"
106,"YORK SOUTH--WESTON","YORK-SUD - WESTON"
107,"YORK WEST","YORK-OUEST"
